Number,Actual value,Fast runtime,FastN runtime,Impl1 runtime,Impl2 runtime,Fast abs err,Fast rel err,FastN abs err,FastN rel err,
441928,0.00150426,0.052,0.149,0.551,0.948,-3.00438e-05,-0.0199724,9.0606e-07,0.000602328,
679.559,0.0383607,0.047,0.165,0.603,0.942,-0.000714649,-0.0186297,2.00905e-05,0.000523726,
3.70969e+08,5.19196e-05,0.061,0.124,0.566,0.646,-6.64e-07,-0.012789,1.27911e-08,0.000246364,
6.54148e-05,123.641,0.053,0.358,0.581,0.667,3.43834,0.0278091,0.14209,0.00114921,
942.587,0.0325716,0.042,0.391,0.56,0.639,0.00142244,0.043671,9.1821e-05,0.00281905,
3.0223e+09,1.81899e-05,0.054,0.144,0.599,1,-2.78667e-07,-0.0153199,6.43558e-09,0.000353799,
1.48064e+06,0.000821816,0.055,0.134,0.634,0.742,-1.21763e-05,-0.0148164,2.71888e-07,0.000330838,
4.28082e+07,0.00015284,0.05,0.124,0.66,0.668,-2.94029e-06,-0.0192377,8.53906e-08,0.000558694,
17.2286,0.240921,0.049,0.155,0.562,0.622,0.00646497,0.0268344,0.000257909,0.00107051,
2.37435,0.648974,0.044,0.132,0.552,0.642,-0.0112531,-0.0173398,0.000294387,0.000453619,
38321,0.00510836,0.09,0.131,0.722,0.6,-8.42582e-05,-0.0164942,2.09594e-06,0.000410296,
2979.24,0.0183209,0.043,0.458,0.523,0.609,-0.000221098,-0.0120681,4.01773e-06,0.000219297,
1.85055e+07,0.000232461,0.05,0.245,1.066,0.849,5.10036e-06,0.0219407,1.66634e-07,0.000716827,
9.47809e+07,0.000102716,0.042,0.136,0.479,0.593,-1.52375e-06,-0.0148346,3.40733e-08,0.000331722,
428874,0.00152699,0.043,0.129,0.568,0.678,-3.16371e-05,-0.0207187,9.89996e-07,0.000648333,
283076,0.00187953,0.046,0.137,0.68,0.768,4.93329e-05,0.0262475,1.92516e-06,0.00102428,
20.3357,0.221753,0.042,0.215,0.557,0.715,-0.000565559,-0.00255039,2.16067e-06,9.74356e-06,
1.23222e+08,9.00856e-05,0.045,0.414,0.843,0.943,-1.22085e-06,-0.0135522,2.49274e-08,0.000276708,
71.43,0.11832,0.053,0.127,0.83,0.854,0.00232068,0.0196136,6.78301e-05,0.000573275,
1.82323e+06,0.000740592,0.045,0.223,1.09,0.563,-1.36356e-05,-0.0184117,3.78815e-07,0.000511503,
5.11679e+06,0.00044208,0.022,0.14,0.573,0.62,1.63261e-06,0.00369301,9.02219e-09,2.04085e-05,
804394,0.00111498,0.032,0.433,0.859,0.697,-5.0558e-06,-0.00453445,3.44589e-08,3.09055e-05,
7.03966e+08,3.76898e-05,0.023,0.192,0.937,0.772,-7.14204e-07,-0.0189495,2.04273e-08,0.000541983,
2.49171e+07,0.000200332,0.022,0.302,0.587,0.667,-3.70262e-06,-0.0184824,1.03304e-07,0.000515663,
5109.9,0.0139892,0.061,0.138,0.558,0.619,2.7027e-06,0.000193198,1.86265e-09,1.33148e-07,
39599.5,0.00502522,0.055,0.182,0.974,0.809,-9.11942e-05,-0.0181473,2.49688e-06,0.000496869,
3.05458e+08,5.72169e-05,0.04,0.355,0.831,0.739,9.09433e-07,0.0158945,2.15659e-08,0.000376916,
2.73244e+16,6.04957e-09,0.052,0.171,0.593,0.614,-1.18161e-10,-0.0195321,3.48388e-12,0.000575889,
2.67344e+06,0.000611596,0.043,0.13,0.715,0.639,-1.17655e-05,-0.0192374,3.41679e-07,0.000558668,
3.77137e+10,5.14932e-06,0.053,0.233,0.757,0.988,-5.86365e-08,-0.0113872,1.00499e-09,0.00019517,
7667.81,0.01142,0.05,0.129,0.526,0.543,-0.000127162,-0.0111351,2.1318e-06,0.000186673,
1.35409e+08,8.59362e-05,0.035,0.161,0.731,0.675,-9.92295e-08,-0.00115469,1.74623e-10,2.03201e-06,
4.48063e+07,0.000149393,0.043,0.244,0.509,0.73,-2.75252e-06,-0.0184247,7.65431e-08,0.00051236,
168624,0.00243523,0.038,0.3,0.725,0.74,-4.67862e-05,-0.0192122,1.3567e-06,0.000557115,
1.05984e+14,9.71358e-08,0.025,0.149,0.736,0.659,-1.86628e-09,-0.0192131,5.4122e-11,0.000557179,
31.3834,0.178505,0.049,0.242,0.637,0.653,-0.000659063,-0.00369213,3.65078e-06,2.0452e-05,
8624.59,0.0107679,0.049,0.14,0.804,0.736,-7.3039e-05,-0.00678303,7.44127e-07,6.9106e-05,
2.31495e+07,0.00020784,0.043,0.331,0.652,0.627,-2.62551e-06,-0.0126324,4.99567e-08,0.000240361,
0.158383,2.51273,0.035,0.175,0.67,0.688,-0.0482919,-0.0192189,0.00140119,0.000557635,
1.41276e+06,0.00084133,0.043,0.179,0.562,0.666,-8.46881e-06,-0.010066,1.28231e-07,0.000152415,
5.23851,0.436914,0.054,0.423,0.551,0.949,-0.00289309,-0.00662165,2.8789e-05,6.58918e-05,
54341.3,0.00428978,0.042,0.13,0.66,0.59,5.20437e-05,0.012132,9.4343e-07,0.000219925,
3.91286e+08,5.05537e-05,0.056,0.13,0.949,0.759,-8.75014e-07,-0.0173086,2.28501e-08,0.000451998,
822543,0.00110261,0.055,0.117,0.873,0.69,-5.22472e-07,-0.000473852,3.49246e-10,3.16746e-07,
4116.98,0.0155851,0.022,0.131,0.717,0.752,0.000651686,0.0418146,4.03048e-05,0.00258611,
1.04601e+11,3.09195e-06,0.051,0.19,0.79,0.637,-6.08431e-08,-0.0196779,1.80762e-09,0.000584622,
1.01151e-06,994.296,0.053,0.346,0.637,0.848,29.8305,0.0300016,1.3291,0.00133673,
5707.92,0.0132361,0.116,0.164,0.644,0.665,-0.00018008,-0.0136052,3.69176e-06,0.000278915,
6.21051e+06,0.00040127,0.05,0.642,0.545,0.692,-7.34653e-06,-0.0183082,2.02999e-07,0.000505892,
1.2092e+06,0.000909393,0.054,0.133,0.581,0.626,1.2199e-05,0.0134144,2.44356e-07,0.000268702,
19483.8,0.00716413,0.055,0.316,0.639,0.807,5.69215e-05,0.00794535,6.77072e-07,9.45086e-05,
14158.4,0.00840412,0.071,0.191,0.812,0.769,0.000201934,0.024028,7.22054e-06,0.000859167,
172383,0.00240853,0.066,0.182,0.91,0.748,-4.54769e-05,-0.0188816,1.29617e-06,0.000538157,
9697.07,0.010155,0.071,0.333,0.909,0.635,-0.000174539,-0.0171875,4.52623e-06,0.000445714,
15291.1,0.00808687,0.049,0.136,0.581,0.685,0.000349576,0.0432276,2.23406e-05,0.00276257,
8.83975e+07,0.00010636,0.062,0.146,1.021,1.031,-7.82522e-07,-0.00735727,8.65111e-09,8.13377e-05,
6.50377e+08,3.92119e-05,0.044,0.196,0.614,0.625,-7.15263e-07,-0.018241,1.96887e-08,0.000502112,
3.48322e+07,0.000169438,0.055,0.414,0.679,0.735,-8.50865e-07,-0.0050217,6.41739e-09,3.78747e-05,
6.163e+07,0.000127381,0.054,0.134,0.669,0.77,5.5739e-06,0.0437578,3.60509e-07,0.00283017,
1.53315e+07,0.000255392,0.045,0.23,0.564,0.733,1.11993e-05,0.0438515,7.25908e-07,0.00284232,
163.908,0.0781089,0.042,0.132,0.76,0.956,-0.00150227,-0.019233,4.36231e-05,0.000558491,
6.19286e+07,0.000127073,0.055,0.138,0.868,0.719,5.53802e-06,0.0435812,3.56784e-07,0.0028077,
1.90252e+11,2.29264e-06,0.045,0.268,0.602,0.701,-3.79709e-08,-0.0165621,9.48603e-10,0.00041376,
